Company,Skills,Description,Publish Date,Experience,Location
    Surya Informatics Solutions Pvt. Ltd.        ,"python  ,  web technologies  ,  linux  ,  mobile  ,  mysql  ,  angularjs  ,  javascript              ",card_travel0 - 3 yrslocation_onChennai,Posted few days ago,card_travel0 - 3 yrs,Chennai
    TandA HR Solutions        ,"Python  ,   Django  ,   Flask              ","card_travel3 - 6 yrslocation_onMohali,  Chandigarh",Posted 1 day ago,card_travel3 - 6 yrs,"Mohali,  Chandigarh"
    Polaris Consulting & Services Ltd        ,"python  ,  django  ,  apache  ,  devops              ",card_travel0 - 3 yrslocation_onBengaluru / Bangalore,Posted 4 days ago,card_travel0 - 3 yrs,Bengaluru / Bangalore
    E FRIEND TECHNOLOGIES     (More Jobs) ,"python  ,  django  ,  Css              ",card_travel1 - 4 yrs₹Rs 1.80 - 4.00 Lacs p.a.location_onIndore,Posted few days ago,card_travel1 - 4 yrs,Indore
    INFINITY GROUP        ,"python  ,  css  ,  django  ,  html  ,  bootstrap              ",card_travel2 - 5 yrslocation_onNoida/Greater Noida,Posted 2 days ago,card_travel2 - 5 yrs,Noida/Greater Noida
    route mobile ltd        ,"python  ,  django  ,  postgresql  ,  mysql  ,  docker              ",card_travel2 - 3 yrslocation_onMumbai,Posted 6 days ago,card_travel2 - 3 yrs,Mumbai
    toolyt        ,"                algorithms  ,  python  ,  machine learning  ,  django              ",card_travel4 - 5 yrslocation_onBengaluru / Bangalore,Posted 6 days ago,card_travel4 - 5 yrs,Bengaluru / Bangalore
    Perfios Software        ,"python  ,  java  ,  scala              ",card_travel5 - 8 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel5 - 8 yrs,Bengaluru / Bangalore
    Sourcedesk Global Private Limited        ,"                html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure              ",card_travel3 - 15 yrslocation_onKolkata,Posted 1 day ago,card_travel3 - 15 yrs,Kolkata
    MUSIKAAR        ,"python  ,  problem solving  ,  django  ,  mysql              ",card_travel1 - 3 yrslocation_onAhmedabad,Posted few days ago,card_travel1 - 3 yrs,Ahmedabad
    Triadss Tech Solutions        ,"python  ,  django  ,  html5  ,  javascript              ",card_travel0 - 3 yrslocation_onChennai,Posted few days ago,card_travel0 - 3 yrs,Chennai
    KPMG India Pvt Ltd        ,"                docker  ,  database  ,  software engineer  ,  teamcity  ,  python  ,  django              ",card_travel0 - 3 yrslocation_onBengaluru / Bangalore,Posted 6 days ago,card_travel0 - 3 yrs,Bengaluru / Bangalore
    KPMG India Pvt Ltd        ,"                docker  ,  database  ,  software engineer  ,  teamcity  ,  python  ,  django              ",card_travel0 - 3 yrslocation_onGurgaon,Posted 6 days ago,card_travel0 - 3 yrs,Gurgaon
    Ivan Infotech Pvt. Ltd.        ,"                rest  ,  python  ,  security  ,  debugging              ",card_travel2 - 5 yrslocation_onKolkata,Posted few days ago,card_travel2 - 5 yrs,Kolkata
    Cybage Software Pvt Ltd        ,"python  ,  html5  ,  javascript  ,  nosql  ,  docker  ,  django  ,  software developer  ,  mongodb              ","card_travel4 - 7 yrslocation_onGandhinagar,  Hyderabad/Secunderabad,  Pune",Posted 1 day ago,card_travel4 - 7 yrs,"Gandhinagar,  Hyderabad/Secunderabad,  Pune"
    Yudiz Solutions        ,"                algorithms  ,  python  ,  problem solving  ,  database  ,  django  ,  git  ,  html  ,  technical skills              ",card_travel2 - 5 yrslocation_onAhmedabad,Posted 1 day ago,card_travel2 - 5 yrs,Ahmedabad
    TandA HR Solutions        ,"python  ,  git  ,  django              ","card_travel4 - 6 yrslocation_onGurgaon,  Chandigarh",Posted few days ago,card_travel4 - 6 yrs,"Gurgaon,  Chandigarh"
    east india securities ltd.        ,"python  ,  hadoop  ,  machine learning              ",card_travel2 - 5 yrslocation_onKolkata,Posted few days ago,card_travel2 - 5 yrs,Kolkata
    Somet Consulting Group     (More Jobs) ,"                Software Developer  ,  Python Developer  ,  Python Scripting  ,  Django  ,  html  ,  Css  ,  Javascript  ,  Mysql  ,  Postrege  ,  flask  ,  Pandas  ,  Numpy  ,  Software Engineer  ,  Ahmedabad  ,  Gujarat              ","card_travel1 - 6 yrs₹Rs 3.00 - 9.00 Lacs p.a.location_onAhmedabad,  Gandhinagar,  Vadodara",Posted 3 days ago,card_travel1 - 6 yrs,"Ahmedabad,  Gandhinagar,  Vadodara"
    JobsLo Consultants        ,"python  ,  linux  ,  windows  ,  sql              ",card_travel2 - 3 yrslocation_onIndore,Posted few days ago,card_travel2 - 3 yrs,Indore
    Claritaz TechLabs LLP        ,"python  ,  django  ,  git  ,  rest api  ,  multithreading  ,  shell scripting  ,  api              ",card_travel0 - 3 yrslocation_onChennai,Posted 5 days ago,card_travel0 - 3 yrs,Chennai
    TECHNOPARK TRIVANDRUM        ,"                rest  ,  python  ,  problem solving  ,  sql  ,  django  ,  mysql  ,  mvc  ,  middleware              ",card_travel2 - 6 yrslocation_onThiruvananthapuram,Posted 4 days ago,card_travel2 - 6 yrs,Thiruvananthapuram
    appy pie        ,"python  ,  django  ,  html5  ,  javascript              ",card_travel1 - 2 yrslocation_onNoida/Greater Noida,Posted few days ago,card_travel1 - 2 yrs,Noida/Greater Noida
    Wing Global IT Services        ,"                spring boot  ,  python  ,  java  ,  django  ,  jpa  ,  hibernate              ",card_travel2 - 5 yrslocation_onPanchkula,Posted few days ago,card_travel2 - 5 yrs,Panchkula
    art technology and software india pvt ltd        ,"                rest  ,  python  ,  database  ,  django  ,  api              ",card_travel2 - 3 yrslocation_onCochin/ Kochi/ Ernakulam,Posted few days ago,card_travel2 - 3 yrs,Cochin/ Kochi/ Ernakulam
    sjain ventures        ,"python  ,  web developer  ,  web services              ",card_travel0 - 3 yrslocation_onRaipur,Posted few days ago,card_travel0 - 3 yrs,Raipur
    APPLYCUP HIRING SOLUTIONS LLP        ,"python   ,  Django  ,   Object Relational Mapper              ",card_travel3 - 5 yrslocation_onSurat,Posted few days ago,card_travel3 - 5 yrs,Surat
    systango        ,"python  ,  django  ,  javascript  ,  web programming              ",card_travel5 - 8 yrslocation_onIndore,Posted few days ago,card_travel5 - 8 yrs,Indore
    young minds technology solutions pvt ltd        ,"python  ,  html5  ,  storage  ,  javascript  ,  security  ,  django              ",card_travel0 - 3 yrslocation_onTirupati,Posted few days ago,card_travel0 - 3 yrs,Tirupati
    APPLYCUP HIRING SOLUTIONS LLP        ,"python  ,  web technologies  ,  web technologies              ",card_travel4 - 6 yrslocation_onPune,Posted few days ago,card_travel4 - 6 yrs,Pune
    APPLYCUP HIRING SOLUTIONS LLP        ,"python  ,  django  ,  html5  ,  javascript              ",card_travel2 - 4 yrslocation_onGandhinagar,Posted few days ago,card_travel2 - 4 yrs,Gandhinagar
    APPLYCUP HIRING SOLUTIONS LLP        ,"python  ,  django  ,  html5  ,  javascript              ","card_travel2 - 15 yrslocation_onGurgaon,  Delhi,  Delhi/NCR",Posted few days ago,card_travel2 - 15 yrs,"Gurgaon,  Delhi,  Delhi/NCR"
    quality thought        ,"                rest  ,  python  ,  django  ,  information technology              ",card_travel2 - 5 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel2 - 5 yrs,Hyderabad/Secunderabad
    ons interactive solutions pvt ltd        ,"python  ,  django  ,  html5  ,  javascript              ",card_travel1 - 2 yrslocation_onNoida/Greater Noida,Posted few days ago,card_travel1 - 2 yrs,Noida/Greater Noida
    DREAMAJAX TECHNOLOGIES        ,"python  ,  django  ,  api  ,  sql  ,  nosql              ",card_travel4 - 7 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel4 - 7 yrs,Bengaluru / Bangalore
    Anantha Cyber Tech Pvt Limited        ,"python  ,  c    ,  c  ,  information technology              ",card_travel3 - 6 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel3 - 6 yrs,Hyderabad/Secunderabad
    CONNECTING 2 WORK        ,"python  ,  storage  ,  django  ,  testing tools  ,  debugging              ",card_travel5 - 10 yrslocation_onThiruvananthapuram,Posted few days ago,card_travel5 - 10 yrs,Thiruvananthapuram
    Stalwart Management Consulting        ,"                css  ,  sql  ,  data extraction  ,  xpath  ,  java  ,  linux  ,  html  ,  technical skills  ,  python  ,  os  ,  mobile  ,  windows  ,  django  ,  web crawling              ","card_travel5 - 8 yrslocation_onMumbai,  Chandigarh,  Pune",Posted 1 day ago,card_travel5 - 8 yrs,"Mumbai,  Chandigarh,  Pune"
    Nineleaps        ,"                curl  ,  sql  ,  docker  ,  security  ,  mysql  ,  rest  ,  python  ,  django              ",card_travel0 - 3 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel0 - 3 yrs,Bengaluru / Bangalore
    day1 technologies        ,"                rest  ,  python  ,  django  ,  git  ,  postgresql  ,  sql  ,  docker              ",card_travel2 - 3 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel2 - 3 yrs,Bengaluru / Bangalore
    pofi technologies pvt ltd.        ,"python  ,  django  ,  html5  ,  oops  ,  javascript              ",card_travel3 - 5 yrslocation_onCoimbatore,Posted few days ago,card_travel3 - 5 yrs,Coimbatore
    Intellectyx        ,"python  ,  mobile  ,  javascript  ,  react.js  ,  django              ",card_travel3 - 6 yrslocation_onCoimbatore,Posted few days ago,card_travel3 - 6 yrs,Coimbatore
    WHITE FORCE        ,"                algorithms  ,  python  ,  mobile  ,  machine learning  ,  ds  ,  mongodb              ",card_travel8 - 11 yrslocation_onGurgaon,Posted few days ago,card_travel8 - 11 yrs,Gurgaon
    Relevance Lab Inc        ,"python  ,  html5  ,  javascript  ,  django  ,  written communication  ,  devops  ,  web technologies              ",card_travel1 - 3 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel1 - 3 yrs,Bengaluru / Bangalore
    ikomet Technology Solutions Pvt. Ltd.        ,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery              ",card_travel0 - 3 yrslocation_onChennai,Posted few days ago,card_travel0 - 3 yrs,Chennai
    SonicWall Inc.        ,"                rest api  ,  sql  ,  linux  ,  mysql  ,  mongodb  ,  python  ,  mobile  ,  nosql              ",card_travel5 - 8 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel5 - 8 yrs,Bengaluru / Bangalore
    APTIV        ,"                algorithms  ,  docker  ,  react.js  ,  linux  ,  vms  ,  python  ,  cloud services  ,  algorithm development  ,  machine learning  ,  django              ",card_travel1 - 5 yrslocation_onBengaluru / Bangalore,Posted 6 days ago,card_travel1 - 5 yrs,Bengaluru / Bangalore
    Merkle Inc.        ,"                softwaredesign  ,  devops  ,  python  ,  nosql  ,  docker  ,  sql  ,  git  ,  debugging  ,  crm  ,  mobile  ,  team player  ,  infrastructure              ",card_travel0 - 3 yrslocation_on,Posted 6 days ago,card_travel0 - 3 yrs,
    TECHNOPARK TRIVANDRUM        ,"python  ,  javascript  ,  sql  ,  nosql  ,  oop  ,  database  ,  git  ,  object oriented programming              ",card_travel1 - 6 yrslocation_onThiruvananthapuram,Posted few days ago,card_travel1 - 6 yrs,Thiruvananthapuram
    zoondia software pvt ltd        ,"                rest  ,  python  ,  problem solving  ,  sql  ,  django  ,  mysql  ,  mvc  ,  middleware              ","card_travel2 - 4 yrslocation_onCalicut/ Kozhikode,  Thiruvananthapuram",Posted few days ago,card_travel2 - 4 yrs,"Calicut/ Kozhikode,  Thiruvananthapuram"
    Congruent Info-Tech        ,"                c#  ,  algorithms  ,  python  ,  team player  ,  git  ,  software engineering              ",card_travel3 - 6 yrslocation_onChennai,Posted few days ago,card_travel3 - 6 yrs,Chennai
    TandA HR Solutions        ,"                rest  ,  python  ,  html5  ,  team player  ,  javascript  ,  docker  ,  node.js  ,  django  ,  cloud storage  ,  json  ,  mongodb              ",card_travel2 - 7 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel2 - 7 yrs,Bengaluru / Bangalore
    Saraca Solutions Pvt ltd        ,"python  ,  html5  ,  javascript  ,  security  ,  django  ,  debugging              ",card_travel0 - 3 yrslocation_on,Posted few days ago,card_travel0 - 3 yrs,
    Headhuntersinc consultancy Private Limited        ,"                hive  ,  c    ,  sql  ,  java  ,  linux  ,  hadoop  ,  big data  ,  c#  ,  global delivery  ,  python  ,  edi  ,  hl7  ,  .net  ,  unix              ",card_travel10 - 13 yrslocation_onChennai,Posted 5 days ago,card_travel10 - 13 yrs,Chennai
    brancosoft        ,"                html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap              ",card_travel2 - 5 yrslocation_onNoida/Greater Noida,Posted few days ago,card_travel2 - 5 yrs,Noida/Greater Noida
    InnOvator Web Solutions Pvt.Ltd.        ,"                rest  ,  python  ,  django  ,  web developer  ,  mysql  ,  api              ",card_travel5 - 8 yrslocation_onMumbai,Posted few days ago,card_travel5 - 8 yrs,Mumbai
    AxisTechnolabs        ,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery              ",card_travel0 - 1 yrslocation_onAhmedabad,Posted few days ago,card_travel0 - 1 yrs,Ahmedabad
    pearl global solutions        ,"python  ,  database  ,  django  ,  team player  ,  sql              ",card_travel4 - 7 yrslocation_onCochin/ Kochi/ Ernakulam,Posted few days ago,card_travel4 - 7 yrs,Cochin/ Kochi/ Ernakulam
    creative thoughts informatics indore        ,"python  ,  django  ,  rest api  ,  html5  ,  javascript              ",card_travel1 - 4 yrslocation_onIndore,Posted few days ago,card_travel1 - 4 yrs,Indore
    APPLYCUP HIRING SOLUTIONS LLP        ,"python  ,  security  ,  web developer  ,  storage  ,  mongodb              ",card_travel1 - 4 yrslocation_onAhmedabad,Posted few days ago,card_travel1 - 4 yrs,Ahmedabad
    JobsLo Consultants        ,"                application development  ,  Python2   ,  developing programs              ",card_travel2 - 4 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel2 - 4 yrs,Bengaluru / Bangalore
    Splice Global Services Pvt Ltd        ,"python  ,  django  ,  git  ,  postgresql  ,  oops  ,  linux  ,  mysql              ",card_travel2 - 5 yrslocation_onGurgaon,Posted few days ago,card_travel2 - 5 yrs,Gurgaon
    DealsCorner        ,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript              ",card_travel1 - 4 yrslocation_onAhmedabad,Posted few days ago,card_travel1 - 4 yrs,Ahmedabad
    CONNECTING 2 WORK        ,"                security compliance  ,  python  ,  html5  ,  mobile  ,  javascript  ,  database  ,  django  ,  debugging              ",card_travel0 - 3 yrslocation_onThiruvananthapuram,Posted few days ago,card_travel0 - 3 yrs,Thiruvananthapuram
    amantya technologies        ,"                algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql              ",card_travel3 - 8 yrslocation_onGurgaon,Posted few days ago,card_travel3 - 8 yrs,Gurgaon
    Tarams Software Technologies Pvt Ltd        ,"python  ,  rdbms  ,  web based applications  ,  javascript  ,  jquery  ,  django  ,  devops              ",card_travel4 - 7 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel4 - 7 yrs,Bengaluru / Bangalore
    Infosys Technologies Ltd        ,"                websphere  ,  information technology  ,  html5  ,  technology analyst  ,  jsp  ,  java  ,  j2ee  ,  project life cycle  ,  rest  ,  global delivery  ,  python  ,  production support              ",card_travel4 - 7 yrslocation_on,Posted 4 days ago,card_travel4 - 7 yrs,
    ATCS        ,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv              ",card_travel5 - 8 yrslocation_onNavi Mumbai,Posted few days ago,card_travel5 - 8 yrs,Navi Mumbai
    ATCS        ,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv              ",card_travel2 - 4 yrslocation_onNavi Mumbai,Posted few days ago,card_travel2 - 4 yrs,Navi Mumbai
    Polaris Consulting & Services Ltd        ,"                scala  ,  bi  ,  docker  ,  java  ,  iam  ,  xml  ,  software engineer  ,  software engineering  ,  hadoop  ,  pl  /  sql  ,  python  ,  cloud services  ,  github  ,  javascript  ,  nosql  ,  node.js  ,  angularjs  ,  unix              ",card_travel0 - 3 yrslocation_onChennai,Posted 5 days ago,card_travel0 - 3 yrs,Chennai
    mobiloitte technologies        ,"                security compliance  ,  python  ,  html5  ,  mobile  ,  storage  ,  javascript  ,  security  ,  database  ,  web developer  ,  debugging              ",card_travel0 - 3 yrslocation_onDelhi,Posted few days ago,card_travel0 - 3 yrs,Delhi
    TandA HR Solutions        ,"                rest  ,  python  ,  html5  ,  team player  ,  javascript  ,  docker  ,  node.js  ,  django  ,  cloud storage  ,  json  ,  mongodb              ",card_travel2 - 7 yrslocation_onMumbai,Posted few days ago,card_travel2 - 7 yrs,Mumbai
    evertz        ,"                fundamentals  ,  algorithms  ,  tcpdump  ,  docker  ,  git  ,  postgresql  ,  network programming  ,  linux  ,  iptv  ,  software engineering  ,  data structures  ,  mysql  ,  satellite  ,  python  ,  team player  ,  svn              ",card_travel5 - 8 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel5 - 8 yrs,Bengaluru / Bangalore
    IDP EDUCATION INDIA PVT LTD        ,"                json  ,  software engineering  ,  api  ,  rest  ,  python  ,  node.js  ,  gateway              ",card_travel3 - 6 yrslocation_onChennai,Posted few days ago,card_travel3 - 6 yrs,Chennai
    IDP EDUCATION INDIA PVT LTD        ,"                json  ,  software engineering  ,  api  ,  rest  ,  python  ,  node.js  ,  gateway              ",card_travel3 - 6 yrslocation_onChennai,Posted few days ago,card_travel3 - 6 yrs,Chennai
    IDP EDUCATION INDIA PVT LTD        ,"                json  ,  software engineering  ,  api  ,  rest  ,  python  ,  node.js  ,  gateway              ",card_travel3 - 6 yrslocation_onChennai,Posted few days ago,card_travel3 - 6 yrs,Chennai
    destiny hr group services        ,"                fundamentals  ,  python  ,  css  ,  javascript  ,  jquery  ,  database  ,  django  ,  java  ,  json  ,  html              ",card_travel0 - 1 yrslocation_onGurgaon,Posted few days ago,card_travel0 - 1 yrs,Gurgaon
    Codevian Technologies Pvt. Ltd.        ,"python  ,  css  ,  dml  ,  ddl  ,  javascript  ,  sql  ,  database  ,  written communication  ,  debugging  ,  html              ",card_travel1 - 4 yrslocation_onPune,Posted few days ago,card_travel1 - 4 yrs,Pune
    MODE FINSERVER PRIVATE LIMITED        ,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets              ",card_travel2 - 5 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel2 - 5 yrs,Bengaluru / Bangalore
    MODE FINSERVER PRIVATE LIMITED        ,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash              ",card_travel7 - 10 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel7 - 10 yrs,Bengaluru / Bangalore
    Polaris Consulting & Services Ltd        ,"                scala  ,  bi  ,  docker  ,  java  ,  iam  ,  xml  ,  software engineer  ,  software engineering  ,  hadoop  ,  pl  /  sql  ,  python  ,  cloud services  ,  github  ,  javascript  ,  nosql  ,  node.js  ,  angularjs  ,  unix              ",card_travel0 - 3 yrslocation_onChennai,Posted 6 days ago,card_travel0 - 3 yrs,Chennai
    mobiloitte technologies        ,"                html5  ,  ajax  ,  database  ,  xpath  ,  git  ,  postgresql  ,  xml  ,  json  ,  perl  ,  api  ,  mongodb  ,  python  ,  cloud services  ,  javascript  ,  ruby  ,  nosql  ,  django  ,  couchdb  ,  soap              ","card_travel2 - 5 yrslocation_onDelhi,  Delhi/NCR",Posted few days ago,card_travel2 - 5 yrs,"Delhi,  Delhi/NCR"
    QuEST Global Engineering Pvt Ltd        ,"python  ,  problem solving  ,  web based applications  ,  django  ,  mongodb              ",card_travel3 - 6 yrslocation_onThiruvananthapuram,Posted few days ago,card_travel3 - 6 yrs,Thiruvananthapuram
    Polaris Consulting & Services Ltd        ,"                scala  ,  bi  ,  docker  ,  java  ,  iam  ,  xml  ,  software engineer  ,  software engineering  ,  hadoop  ,  pl  /  sql  ,  python  ,  cloud services  ,  github  ,  javascript  ,  nosql  ,  node.js  ,  angularjs  ,  unix              ",card_travel0 - 3 yrslocation_onChennai,Posted few days ago,card_travel0 - 3 yrs,Chennai
    grawlix software private limited pune        ,"                rest  ,  python  ,  django  ,  html5  ,  api  ,  javascript  ,  sql database  ,  nosql              ",card_travel2 - 5 yrslocation_onPune,Posted few days ago,card_travel2 - 5 yrs,Pune
    QuEST Global Engineering Pvt Ltd        ,"                sql  ,  pattern recognition  ,  python  ,  ms access  ,  machine learning  ,  entry level              ",card_travel3 - 6 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel3 - 6 yrs,Bengaluru / Bangalore
    ATCS        ,"                rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql              ",card_travel4 - 7 yrslocation_onNavi Mumbai,Posted few days ago,card_travel4 - 7 yrs,Navi Mumbai
    CANVERA TRADERS PRIVATE LIMITED        ,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java              ",card_travel5 - 8 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel5 - 8 yrs,Bengaluru / Bangalore
    GKM IT        ,"                microsoft technologies  ,  software design  ,  debugging  ,  business applications  ,  python  ,  project delivery  ,  management systems              ",card_travel5 - 8 yrslocation_onUdaipur,Posted few days ago,card_travel5 - 8 yrs,Udaipur
    KIWITECH        ,"                algorithms  ,  python  ,  css  ,  javascript  ,  jquery  ,  web programming  ,  oop  ,  django  ,  zope  ,  linux  ,  web development  ,  html  ,  data structures              ",card_travel3 - 6 yrslocation_onNoida/Greater Noida,Posted few days ago,card_travel3 - 6 yrs,Noida/Greater Noida
    PNR Software Solutions Private Limited        ,"python  ,  github  ,  telecom bss  ,  django  ,  devops  ,  linux  ,  debugging  ,  telecom  ,  api  ,  unix              ",card_travel3 - 6 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel3 - 6 yrs,Hyderabad/Secunderabad
